,clust,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount,Education,Vehicle Size
0,1,2763.519279,56274,69,32,5,0,1,384.811147,0,1
1,0,6979.535903,0,94,13,42,0,8,1131.464935,0,1
2,1,12887.43165,48767,108,18,38,0,2,566.4722469999999,0,1
3,1,7645.861827,0,106,18,65,0,7,529.881344,0,1
4,1,2813.692575,43836,73,12,44,0,1,138.130879,0,1
5,1,8256.2978,62902,69,14,94,0,2,159.383042,0,1
6,1,5380.898636,55350,67,0,13,0,9,321.6,1,1
7,2,7216.100311,0,101,0,68,0,4,363.02968,4,1
8,1,24127.50402,14072,71,13,3,0,2,511.2,0,1
9,1,7388.178085,28812,93,17,7,0,8,425.527834,1,1
10,1,4738.992021999999,0,67,23,5,0,3,482.4,1,2
11,1,8197.197078,0,110,27,87,0,3,528.0,1,1
12,2,8798.797003,77026,110,9,82,2,3,472.029737,4,1
13,2,8819.018934,99845,110,23,25,1,8,528.0,3,1
14,1,5384.431665,83689,70,21,10,2,8,307.13913199999996,1,1
15,1,7463.1393769999995,24599,64,12,50,1,2,42.920271,0,1
16,2,2566.867823,25049,67,14,7,0,1,454.24509800000004,3,1
17,1,3945.241604,28855,101,12,59,0,1,647.4420309999999,1,1
18,1,5710.333114999999,51148,72,9,1,0,7,308.981664,1,1
19,2,8162.617053,66140,101,11,21,0,3,484.8,3,2
20,2,2872.051273,57749,74,31,21,0,1,355.2,3,1
21,1,3041.791561,13789,79,8,49,0,1,379.2,0,1
22,1,24127.50402,14072,71,13,3,0,2,511.2,0,1
23,1,2450.1909960000003,0,73,4,44,3,1,554.376763,0,1
24,1,2392.1078899999998,17870,61,30,91,0,1,439.2,0,1
25,1,5802.0659780000005,97541,72,22,1,0,3,389.185006,1,0
26,1,3946.372085,0,111,15,47,0,1,799.2,0,2
27,2,5346.916576,10511,139,33,64,0,1,516.237951,4,1
28,1,12902.560140000001,86584,111,33,54,2,2,532.8,1,0
29,2,3235.360468,75690,80,17,44,1,1,384.0,4,2
30,1,2454.5835399999996,23158,63,4,6,1,1,322.29404300000004,1,2
31,0,18975.45611,65999,237,1,14,0,6,615.927769,3,1
32,1,4715.321344,0,65,19,56,0,3,308.15089,0,1
33,1,5018.885233,54500,63,28,17,0,6,302.4,0,2
34,1,4932.916345000001,37260,62,19,42,0,8,15.437681,0,1
